,Text,Language
0,"প্রাকৃতিক (জার্মান: নাটুর, ফরাসী, ফরাসী, ফরাসী, ইংরেজি: ন্যাচারালিজা, পর্তুগিজ: প্রকৃতি।",Bengali
1,শারীরিক ঘটনা এবং জীবন প্রকৃতির কারণ।,Bengali
2,মনুষ্যনির্মিত বস্তুগুলি প্রকৃতির অংশ হিসাবে বিবেচিত হয় না।,Bengali
3,ইংরেজির স্বাধীনতার কৃত্রিমতা হওয়ার স্বাধীনতার স্বাধীনতা ইউনাইটেড পল নাটুরা থেকে।,Bengali
4,প্রকৃতির শব্দটিতে মহাবিশ্ব এবং সমস্ত জটিল ঘটনা রয়েছে।,Bengali
5,পৃথিবী একটি অন্যায় জায়গা যা সুপরিচিত গ্রহে বাস করে।,Bengali
6,সৌরজগতে সূর্য থেকে পৃথিবী তৃতীয় স্থান।,Bengali
7,"বলে, মহাবিশ্বের পরিবেশের বাইরে স্থান (?)",Bengali
8,যাচাইকরণ এবং রেফারেন্স == নোট এবং রেফারেন্স == প্রাকৃতিক হোমপেজে।,Bengali
9,"বায়ুমণ্ডলীয় বিজ্ঞান · 
 ইভেন্ট সায়েন্স · 
 জিওসায়েন্সেস · 
 মৃত্তিকা বিজ্ঞান · 
 হাইডারোলজি পুনর্মিলন বিষয়: জীববিজ্ঞান · 
 রসায়ন · 
 পরিবেশ বান্ধব নকশা · 
 পরিবেশগত অর্থনীতি · 
 পরিবেশগত নীতিশাস্ত্র · 
 পরিবেশ আইন · 
 পদার্থবিজ্ঞান · 
 দূষণ নিয়ন্ত্রণ · 
 টেকসইতা · 
 উইকিপিডিয়া পরিবেশগত প্রযুক্তির অপচয় তৈরির জন্য একটি স্বাধীন এবং বিস্তৃত এনসাইক্লোপিডিয়া তৈরি করার জন্য একটি সম্মিলিত প্রকল্প।",Bengali
10,"প্রকল্পটি উইকিমিডিয়া ফাউন্ডেশনের সহায়তায় কাজ করছে, যা অলাভজনক উইকিমিডিয়া ফাউন্ডেশন ছাড়াই চলে।",Bengali
11,উইকিপিডিয়া সামগ্রীর সামগ্রী জিএনইউ ফ্রি প্রচারমূলক সমাবেশের অধীনে পাওয়া যায় সর্বদা বিনামূল্যে এবং বিনামূল্যে।,Bengali
12,তবে কিছু সংস্করণে আনফার্ড সামগ্রী রয়েছে।,Bengali
13,উইকিপিডিয়া শব্দের মিশ্রণ শব্দের মিশ্রণ।,Bengali
14,"উইকিপিডিয়ার মতে, স্বেচ্ছাসেবক পরিষেবা স্বেচ্ছাসেবীদের অভিন্ন ব্যবহার যা পুরো বিশ্ব জুড়ে ছড়িয়ে পড়ে।",Bengali
15,"উইকিপিডিয়া আপনাকে নিবন্ধ লিখতে দেয়, প্রায় সমস্ত নিবন্ধ সম্পাদনা এবং আপনার সমস্ত সুবিধা।",Bengali
16,"জিমি ওয়েলস এবং ল্যারি স্যাঙ্গার 15 জানুয়ারী, 2001 -এ উইকিপিডিয়া প্রকল্প শুরু করেছিলেন।",Bengali
17,উইকিপিডিয়া প্রয়োজনীয় নিবন্ধগুলির জন্য উইকিপিডিয়া ওয়েবসাইট ওয়েবসাইট ওয়েবসাইট চালু করেছে।,Bengali
18,উইকিপিডিয়া মাতৃ অংশীদারিত্বের বিষয়ে খ্যাতি পেতে খ্যাতি পেতে সক্ষম হয়েছে।,Bengali
19,"আজ, উইকিপিডিয়ার ভিত্তি হ'ল ইন্টারনেটের সর্বাধিক জনপ্রিয় জনসাধারণের স্বাধীনতা।",Bengali
20,উইকিপিডিয়া 292 ভাষায় আচ্ছাদিত।,Bengali
21,"6,113,330 টিরও বেশি নিবন্ধ সহ আরও নিবন্ধ রয়েছে (http:/330 নিবন্ধ (এই প্রকল্পের পতাকাটি।",Bengali
22,উইকিপিডিয়াও মালায়ালাম সহ ২০ টি ভারতীয় ভাষায় একযোগে রয়েছে।,Bengali
23,"রিচার্ড স্টলম্যান, যে কেউ লিখতে পারে এমন একটি স্বাধীন সফ্টওয়্যার ধারণাটি, [5] []]।",Bengali
24,এই ধারণাটি বাস্তবায়নের জন্য রিক গেটস ইন্টারসিডার প্রথম মাস ছিল [[]] [৮] [৮]।,Bengali
25,তবে এটি পরিকল্পনার মঞ্চের চেয়ে বেশি যায় নি।,Bengali
26,এর পরেরটি ছিল সংশ্লিষ্ট ইস্যুগুলির নেতৃত্বের নিবন্ধগুলির নির্বাচন।,Bengali
27,জিমি ওয়েলস এবং হেল্পার ছিলেন এর ভাস্কর্যগুলি [9] [10]।,Bengali
28,"নিবন্ধগুলির অতিরিক্ত উত্পাদন ছিল নিবন্ধগুলির সর্বাধিক ঘন ঘন গুণমান, এর বৃদ্ধি ধীরে ধীরে।",Bengali
29,"অতএব, পাবলিক পরিকল্পিত উইকিপিডিয়া ইনিশিয়েটিভ ইনিশিয়েটিভগুলি সম্পাদনা উদ্যোগ উদ্যোগ উদ্যোগ উদ্যোগ উদ্যোগ উদ্যোগ উদ্যোগ উদ্যোগ হিসাবে সম্পাদনা পছন্দগুলি শুরু করে।",Bengali
30,"বিশেষজ্ঞ সায়েন্টিস উইকিপিডিয়ার চিত্রগুলির চিত্রগুলি, যা ওয়েব এনসাইক্লোপিডিয়ার ওয়েব এনসাইক্লোপিডিয়া শুরু করেছিল, বারগুলি অতিক্রম করতে শুরু করে এবং বৃহত্তম উনাগিটারিয়াসের কারণে ঘটে।",Bengali
31,উইকিপিডিয়া একটি নিখরচায় অনলাইন এনসাইক্লোপিডিয়া যা অনেক লেখক এবং পাঠকদের সহযোগিতায় তৈরি হয়েছিল।,Bengali
32,"উইকিপিডিয়া বৃহত্তম উইকিস 
 [12]।",Bengali
33,"15 জানুয়ারী, 2001 -এ, উইকিপিডিয়া প্রকল্পটি বেশ শুরু করেছিল।",Bengali
34,লক্ষ লক্ষ ব্যবহারকারী অলাভজনক ছাড়াই উইকিপিডিয়ায় নিবন্ধ লিখছেন।,Bengali
35,"এটি এই নিখরচায় ভেক্সা এর ভিত্তি, উইকিসফটওয়্যার উইকিসফ্ট উইকিপিডিয়া ওয়েব পৃষ্ঠায় নিবন্ধ লেখার ক্ষেত্রে স্বাধীনতা এবং সুবিধা সরবরাহ করে।",Bengali
36,অনেক ব্যবহারকারী চালিয়ে যেতে উইকিপিডিয়া উন্নত করে।,Bengali
37,তারা প্রতি ঘন্টা হাজার হাজার পরিবর্তন করে।,Bengali
38,এই সমস্ত পরিবর্তন উইকিপিডিয়া রাখা হয়।,Bengali
39,অযাচিত পরিবর্তনগুলি সাধারণত বাদ দেওয়া হয়।,Bengali
40,"একইভাবে, অবিচ্ছিন্ন বার্ষিক অবৈধ আইন পরিবর্তন করা হচ্ছে।",Bengali
41,উইকিপিডিয়া বর্তমানে উইকিপিডিয়ার সংস্করণগুলিতে বর্তমানে অন্তর্ভুক্ত রয়েছে।,Bengali
42,উইকিপিডিয়া ক্রিয়াকলাপের মাধ্যমে অনেক মৃত ভাষা এবং স্ক্রিপ্ট পুনর্গঠিত হচ্ছে।,Bengali
43,উইকিপিডিয়ার পতাকাটি হ'ল 1 লক্ষ লক্ষের কাছাকাছি নিবন্ধগুলির প্রান্তে উইকিপিডিয়ার ইংরেজি সংস্করণ।,Bengali
44,"প্রথম বছরে, উইকিপিডিয়ায় নিবন্ধের সংখ্যা বিশ হাজার ছাড়িয়েছে।",Bengali
