,Text,Language
0," Nature, in the broadest sense, is the natural, physical, material world or universe.",English
1,"""Nature"" can refer to the phenomena of the physical world, and also to life in general.",English
2,"The study of nature is a large, if not the only, part of science.",English
3,"Although humans are part of nature, human activity is often understood as a separate category from other natural phenomena.",English
4,"[1] The word nature is borrowed from the Old French nature and is derived from the Latin word natura, or ""essential qualities, innate disposition"", and in ancient times, literally meant ""birth"".",English
5,"[2] In ancient philosophy, natura is mostly used as the Latin translation of the Greek word physis (φύσις), which originally related to the intrinsic characteristics that plants, animals, and other features of the world develop of their own accord.",English
6,"[3][4] 
The concept of nature as a whole, the physical universe, is one of several expansions of the original notion;[1] it began with certain core applications of the word φύσις by pre-Socratic philosophers (though this word had a dynamic dimension then, especially for Heraclitus), and has steadily gained currency ever since.",English
7,"During the advent of modern scientific method in the last several centuries, nature became the passive reality, organized and moved by divine laws.",English
8,"[5][6] With the Industrial revolution, nature increasingly became seen as the part of reality deprived from intentional intervention : it was hence considered as sacred by some traditions (Rousseau, American transcendentalism) or a mere decorum for divine providence or human history (Hegel, Marx).",English
9,"However, a vitalist vision of nature, closer to the presocratic one, got reborn at the same time, especially after Charles Darwin.",English
10,"[1] Within the various uses of the word today, ""nature"" often refers to geology and wildlife.",English
11,"Nature can refer to the general realm of living plants and animals, and in some cases to the processes associated with inanimate objects—the way that particular types of things exist and change of their own accord, such as the weather and geology of the Earth.",English
12,"It is often taken to mean the ""natural environment"" or wilderness—wild animals, rocks, forest, and in general those things that have not been substantially altered by human intervention, or which persist despite human intervention.",English
13,"For example, manufactured objects and human interaction generally are not considered part of nature, unless qualified as, for example, ""human nature"" or ""the whole of nature"".",English
14,"This more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial, with the artificial being understood as that which has been brought into being by a human consciousness or a human mind.",English
15,"Depending on the particular context, the term ""natural"" might also be distinguished from the unnatural or the supernatural.",English
16,"[1] Earth is the only planet known to support life, and its natural features are the subject of many fields of scientific research.",English
17,"Within the solar system, it is third closest to the sun; it is the largest terrestrial planet and the fifth largest overall.",English
18,"Its most prominent climatic features are its two large polar regions, two relatively narrow temperate zones, and a wide equatorial tropical to subtropical region.",English
19,"[7] Precipitation varies widely with location, from several metres of water per year to less than a millimetre.",English
20,71 percent of the Earth's surface is covered by salt-water oceans.,English
21,"The remainder consists of continents and islands, with most of the inhabited land in the Northern Hemisphere.",English
22,Earth has evolved through geological and biological processes that have left traces of the original conditions.,English
23,The outer surface is divided into several gradually migrating tectonic plates.,English
24,"The interior remains active, with a thick layer of plastic mantle and an iron-filled core that generates a magnetic field.",English
25,"This iron core is composed of a solid inner phase, and a fluid outer phase.",English
26,"Convective motion in the core generates electric currents through dynamo action, and these, in turn, generate the geomagnetic field.",English
27,"The atmospheric conditions have been significantly altered from the original conditions by the presence of life-forms,[8] which create an ecological balance that stabilizes the surface conditions.",English
28,"Despite the wide regional variations in climate by latitude and other geographic factors, the long-term average global climate is quite stable during interglacial periods,[9] and variations of a degree or two of average global temperature have historically had major effects on the ecological balance, and on the actual geography of the Earth.",English
29,[10][11] Geology is the science and study of the solid and liquid matter that constitutes the earth.,English
30,"The field of geology encompasses the study of the composition, structure, physical properties, dynamics, and history of Earth materials, and the processes by which they are formed, moved, and changed.",English
31,"The field is a major academic discipline, and is also important for mineral and hydrocarbon extraction, knowledge about and mitigation of natural hazards, some Geotechnical engineering fields, and understanding past climates and environments.",English
32,The geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations.,English
33,Rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock.,English
34,"Deposition can occur when sediments settle onto the surface of the Earth and later lithify into sedimentary rock, or when as volcanic material such as volcanic ash or lava flows, blanket the surface.",English
35,"Igneous intrusions such as batholiths, laccoliths, dikes, and sills, push upwards into the overlying rock, and crystallize as they intrude.",English
36,"After the initial sequence of rocks has been deposited, the rock units can be deformed and/or metamorphosed.",English
37,"Deformation typically occurs as a result of horizontal shortening, horizontal extension, or side-to-side (strike-slip) motion.",English
38,"These structural regimes broadly relate to convergent boundaries, divergent boundaries, and transform boundaries, respectively, between tectonic plates.",English
39,"Earth is estimated to have formed 4.54 billion years ago from the solar nebula, along with the Sun and other planets.",English
40,[12] The moon formed roughly 20 million years later.,English
41,"Initially molten, the outer layer of the Earth cooled, resulting in the solid crust.",English
42,Outgassing and volcanic activity produced the primordial atmosphere.,English
43,"Condensing water vapor, most or all of which came from ice delivered by comets, produced the oceans and other water sources.",English
44,[13] The highly energetic chemistry is believed to have produced a self-replicating molecule around 4 billion years ago.,English
45,"[14] Continents formed, then broke up and reformed as the surface of Earth reshaped over hundreds of millions of years, occasionally combining to make a supercontinent.",English
46,"Roughly 750 million years ago, the earliest known supercontinent Rodinia, began to break apart.",English
47,"The continents later recombined to form Pannotia which broke apart about 540 million years ago, then finally Pangaea, which broke apart about 180 million years ago.",English
48,"[16] During the Neoproterozoic era, freezing temperatures covered much of the Earth in glaciers and ice sheets.",English
49,"This hypothesis has been termed the ""Snowball Earth"", and it is of particular interest as it precedes the Cambrian explosion in which multicellular life forms began to proliferate about 530–540 million years ago.",English
50,[17] Since the Cambrian explosion there have been five distinctly identifiable mass extinctions.,English
51,"[18] The last mass extinction occurred some 66 million years ago, when a meteorite collision probably triggered the extinction of the non-avian dinosaurs and other large reptiles, but spared small animals such as mammals.",English
52,"Over the past 66 million years, mammalian life diversified.",English
53,"[19] Several million years ago, a species of small African ape gained the ability to stand upright.",English
54,"[15] The subsequent advent of human life, and the development of agriculture and further civilization allowed humans to affect the Earth more rapidly than any previous life form, affecting both the nature and quantity of other organisms as well as global climate.",English
55,"By comparison, the Great Oxygenation Event, produced by the proliferation of algae during the Siderian period, required about 300 million years to culminate.",English
56,"The present era is classified as part of a mass extinction event, the Holocene extinction event, the fastest ever to have occurred.",English
57,"[20][21] Some, such as E. O. Wilson of Harvard University, predict that human destruction of the biosphere could cause the extinction of one-half of all species in the next 100 years.",English
58,"[22] The extent of the current extinction event is still being researched, debated and calculated by biologists.",English
59,[23][24][25] The Earth's atmosphere is a key factor in sustaining the ecosystem.,English
60,The thin layer of gases that envelops the Earth is held in place by gravity.,English
61,"Air is mostly nitrogen, oxygen, water vapor, with much smaller amounts of carbon dioxide, argon, etc.",English
62,The atmospheric pressure declines steadily with altitude.,English
63,The ozone layer plays an important role in depleting the amount of ultraviolet (UV) radiation that reaches the surface.,English
64,"As DNA is readily damaged by UV light, this serves to protect life at the surface.",English
65,"The atmosphere also retains heat during the night, thereby reducing the daily temperature extremes.",English
66,"Terrestrial weather occurs almost exclusively in the lower part of the atmosphere, and serves as a convective system for redistributing heat.",English
67,"[26] Ocean currents are another important factor in determining climate, particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions.",English
68,These currents help to moderate the differences in temperature between winter and summer in the temperate zones.,English
69,"Also, without the redistributions of heat energy by the ocean currents and atmosphere, the tropics would be much hotter, and the polar regions much colder.",English
70,Weather can have both beneficial and harmful effects.,English
71,"Extremes in weather, such as tornadoes or hurricanes and cyclones, can expend large amounts of energy along their paths, and produce devastation.",English
72,"Surface vegetation has evolved a dependence on the seasonal variation of the weather, and sudden changes lasting only a few years can have a dramatic effect, both on the vegetation and on the animals which depend on its growth for their food.",English
73,Climate is a measure of the long-term trends in the weather.,English
74,"Various factors are known to influence the climate, including ocean currents, surface albedo, greenhouse gases, variations in the solar luminosity, and changes to the Earth's orbit.",English
75,"Based on historical records, the Earth is known to have undergone drastic climate changes in the past, including ice ages.",English
76,"The climate of a region depends on a number of factors, especially latitude.",English
77,A latitudinal band of the surface with similar climatic attributes forms a climate region.,English
78,"There are a number of such regions, ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes.",English
79,"Weather is also influenced by the seasons, which result from the Earth's axis being tilted relative to its orbital plane.",English
80,"Thus, at any given time during the summer or winter, one part of the Earth is more directly exposed to the rays of the sun.",English
81,This exposure alternates as the Earth revolves in its orbit.,English
82,"At any given time, regardless of season, the northern and southern hemispheres experience opposite seasons.",English
83,"Weather is a chaotic system that is readily modified by small changes to the environment, so accurate weather forecasting is limited to only a few days.",English
84,"[27] Overall, two things are happening worldwide: (1) temperature is increasing on the average; and (2) regional climates have been undergoing noticeable changes.",English
85,[28] Water is a chemical substance that is composed of hydrogen and oxygen (H2O) and is vital for all known forms of life.,English
86,"[29] In typical usage, water refers only to its liquid form or state, but the substance also has a solid state, ice, and a gaseous state, water vapor, or steam.",English
87,Water covers 71% of the Earth's surface.,English
88,"[30] On Earth, it is found mostly in oceans and other large bodies of water, with 1.6% of water below ground in aquifers and 0.001% in the air as vapor, clouds, and precipitation.",English
