,Text,Language
0,"प्राकृतिक (जर्मन: नेचुर, फ्रांसीसी, फ्रेंच, फ्रेंच, अंग्रेजी: नेचुरुएज़ा, पुर्तगाली: प्रकृति।",Hindi
1,भौतिक घटना और जीवन प्रकृति के कारक हैं।,Hindi
2,मानव निर्मित वस्तुओं को प्रकृति का हिस्सा नहीं माना जाता है।,Hindi
3,अंग्रेजी की स्वतंत्रता की कृत्रिमता होने की स्वतंत्रता की स्वतंत्रता एकजुट पॉल नटुरा से है।,Hindi
4,प्रकृति की प्रकृति शब्द में ब्रह्मांड और सभी जटिल घटनाएं शामिल हैं।,Hindi
5,पृथ्वी एक अधर्मी स्थान है जो प्रसिद्ध ग्रहों में रहता है।,Hindi
6,पृथ्वी सौर मंडल में सूर्य से तीसरा स्थान है।,Hindi
7,"कहते हैं, ब्रह्मांड के वातावरण के बाहर का स्थान (?)",Hindi
8,सत्यापन और संदर्भ == नोट्स और संदर्भ == नटुर्री के होमपेज के लिए।,Hindi
9,"वायुमंडलीय विज्ञान · 
 घटना विज्ञान · 
 भू -विज्ञान · 
 मृदा विज्ञान · 
 हाइड्रोलॉजी सुलह विषय: जीव विज्ञान · 
 रसायन शास्त्र · 
 पर्यावरण डिजाइन · 
 Environontal अर्थशास्त्र · 
 Environontal नैतिकता · 
 Environontal कानून · 
 भौतिक विज्ञान · 
 प्रदूषण नियंत्रण · 
 स्थिरता · 
 विकिपीडिया एक सामूहिक परियोजना है जो पर्यावरणीय प्रौद्योगिकी की बर्बादी का निर्माण करने के लिए एक स्वतंत्र और संपूर्ण विश्वकोश बनाने के लिए एक सामूहिक परियोजना है।",Hindi
10,"यह परियोजना विकिमीडिया फाउंडेशन के समर्थन के साथ काम कर रही है, जो एक गैर-लाभकारी विकिमीडिया फाउंडेशन के बिना चलता है।",Hindi
11,विकिपीडिया सामग्री की सामग्री जीएनयू मुक्त पब्लिक सभा के तहत उपलब्ध है जो हमेशा स्वतंत्र और मुक्त रहेगी।,Hindi
12,"हालांकि, कुछ संस्करणों में सामग्री विचलित है।",Hindi
13,शब्दों का मिश्रण विकिपीडिया शब्दों का मिश्रण है।,Hindi
14,"विकिपीडिया के अनुसार, स्वयंसेवक सेवा स्वयंसेवकों के समान उपयोग जो पूरी दुनिया में फैलती है।",Hindi
15,"विकिपीडिया आपको लेख लिखने की अनुमति देता है, लगभग सभी लेख संपादित करते हैं और आपकी सभी सुविधाएं।",Hindi
16,"जिमी वेल्स और लैरी सेंगर ने 15 जनवरी, 2001 को विकिपीडिया परियोजना की शुरुआत की।",Hindi
17,विकिपीडिया ने आवश्यक लेखों के लिए विकिपीडिया वेबसाइट वेबसाइट वेबसाइट लॉन्च की है।,Hindi
18,विकिपीडिया मातृ भागीदारी पर प्रसिद्धि पाने के लिए एक प्रसिद्धि प्राप्त करने में सक्षम है।,Hindi
19,"आज, विकिपीडिया का आधार इंटरनेट का सबसे लोकप्रिय सार्वजनिक-स्वतंत्रता है।",Hindi
20,विकिपीडिया 292 भाषाओं में शामिल है।,Hindi
21,"6,113,330 से अधिक लेख (http:/330 लेख (इस परियोजना का झंडा है।",Hindi
22,विकिपीडिया भी मलयालम सहित 20 भारतीय भाषाओं में संलग्न है।,Hindi
23,"रिचर्ड स्टालमैन, एक स्वतंत्र सॉफ्टवेयर की अवधारणा जिसे कोई भी लिख सकता है, [5] [6]।",Hindi
24,रिक गेट्स इंटरसेक्टर उस विचार को लागू करने वाला पहला महीना था। [7] [8] [8]।,Hindi
25,लेकिन यह योजना के चरण से अधिक नहीं गया।,Hindi
26,अगला संबंधित मुद्दों के नेतृत्व के लेखों का चुनाव था।,Hindi
27,जिमी वेल्स और सहायक इसकी मूर्तियां थीं [9] [10]।,Hindi
28,"लेखों का ओवरप्रोडक्ट लेखों की सबसे लगातार गुणवत्ता थी, इसकी वृद्धि धीरे -धीरे।",Hindi
